time,distancia,velocidade,direcao,minhaEnergia,meuHeading
1523,433.96961352955094,8.0,220.26759490452878,67.4,217.29402316263685
1524,433.92403470764214,8.0,224.2675949045288,67.4,217.29402316263685
1542,473.80032162164036,8.0,296.2675949045287,67.4,217.29402316263685
1559,554.0061444178299,8.0,274.26759490452866,63.400000000000006,217.29402316263685
1578,573.8745214527373,8.0,198.26759490452858,63.400000000000006,217.29402316263685
1595,455.5538623812002,8.0,146.26759490452866,63.400000000000006,217.29402316263685
1613,385.1545096260272,8.0,218.26759490452875,63.400000000000006,217.29402316263685
1614,387.7176975335122,8.0,222.26759490452878,63.400000000000006,217.29402316263685
1630,519.2851713076216,8.0,286.26759490452883,63.400000000000006,217.29402316263685
1631,525.7508942160679,8.0,290.26759490452883,63.400000000000006,217.29402316263685
1650,517.7311734976075,8.0,41.7675949045286,63.400000000000006,217.29402316263685
1651,515.9406051252525,8.0,45.76759490452859,63.400000000000006,217.29402316263685
1669,562.0164360502938,8.0,340.26759490452855,63.400000000000006,217.29402316263685
1688,643.9577468603835,-6.0,239.51759490452852,63.400000000000006,217.29402316263685
1706,564.7382238586974,-8.0,288.2675949045288,63.400000000000006,217.29402316263685
1707,558.2548056241492,-8.0,292.2675949045288,63.400000000000006,217.29402316263685
1726,434.36648080448543,-8.0,8.267594904528874,63.400000000000006,217.29402316263685
1742,418.82033459269917,2.0,92.5175949045287,63.400000000000006,217.29402316263685
1743,415.4029554521477,3.0,101.0175949045287,63.400000000000006,217.29402316263685
1762,279.6943156750467,8.0,90.26759490452865,63.400000000000006,217.29402316263685
1763,273.69755576281415,8.0,86.26759490452865,63.400000000000006,217.29402316263685
1781,267.88908606857615,8.0,14.267594904528607,59.400000000000006,217.29402316263685
1782,276.7763332368001,8.0,10.267594904528607,59.400000000000006,217.29402316263685
1801,452.3236111307615,8.0,342.2675949045287,59.400000000000006,217.29402316263685
1819,528.2649975972353,8.0,54.26759490452874,59.400000000000006,217.29402316263685
1839,535.5232918413802,8.0,134.26759490452886,59.400000000000006,217.29402316263685
1857,370.3614920517446,8.0,206.2675949045288,59.400000000000006,217.29402316263685
1875,283.16115161261274,8.0,180.2675949045287,59.400000000000006,217.29402316263685
1876,269.20369573304885,8.0,176.2675949045287,59.400000000000006,217.29402316263685
1894,151.0607559681452,8.0,104.26759490452858,59.400000000000006,217.29402316263685
1895,161.1993344866691,8.0,100.26759490452858,59.400000000000006,217.29402316263685
1896,172.337567944554,8.0,96.26759490452858,59.400000000000006,217.29402316263685
1915,312.44655695152994,8.0,76.26759490452872,59.400000000000006,217.29402316263685
1934,387.49844658672544,8.0,152.2675949045288,59.400000000000006,217.29402316263685
1954,312.76379113818837,8.0,232.26759490452875,59.400000000000006,217.29402316263685
1955,301.7775627760687,8.0,236.26759490452872,59.400000000000006,217.29402316263685
1972,192.75424101851266,8.0,304.26759490452883,59.400000000000006,217.29402316263685
1988,107.5889556373037,8.0,270.2675949045288,59.400000000000006,217.29402316263685
1989,93.34865084875825,8.0,266.2675949045288,59.400000000000006,217.29402316263685
1990,78.88404046889991,8.0,262.2675949045288,59.400000000000006,217.29402316263685
2006,196.3183442158718,-8.0,181.26759490452878,54.2,217.29402316263685
2007,210.87701479201937,-8.0,177.26759490452875,54.2,217.29402316263685
2023,256.9170117191681,-8.0,162.26759490452883,54.2,217.29402316263685
2041,410.3796381125886,-8.0,234.26759490452892,54.2,217.29402316263685
2061,418.2614577271667,-8.0,314.26759490452906,54.2,217.29402316263685
2079,525.339230558536,8.0,36.2675949045289,54.2,217.29402316263685
2098,603.5485777329892,8.0,320.2675949045289,54.2,217.29402316263685
2115,621.3093377765437,8.0,252.26759490452878,54.2,217.29402316263685
2134,533.50033830943,8.0,280.26759490452895,54.2,217.29402316263685
2151,643.347794488749,8.0,348.26759490452906,54.2,217.29402316263685
2171,753.4612715008186,8.0,68.26759490452893,54.2,217.29402316263685
2189,746.7863086594494,8.0,138.26759490452895,54.2,217.29402316263685
2209,740.4204982228023,8.0,58.26759490452885,54.2,217.29402316263685
2227,913.5233018233056,8.0,346.26759490452883,54.2,217.29402316263685
2245,883.7139456761732,-8.0,29.267594904528885,54.2,217.29402316263685
2246,868.5031554444581,-8.0,33.26759490452888,54.2,217.29402316263685
2263,824.7658099417068,-8.0,101.26759490452893,54.2,217.29402316263685
2282,831.804933096268,5.0,205.76759490452892,54.2,217.29402316263685
2300,726.9714639105234,8.0,176.26759490452883,54.2,217.29402316263685
2319,614.2970390733165,8.0,100.26759490452875,54.2,217.29402316263685
2338,731.6639373177672,8.0,72.26759490452885,54.2,217.29402316263685
2357,701.8433783982737,8.0,148.26759490452895,54.2,217.29402316263685
2375,622.7692597215492,8.0,220.26759490452903,54.2,217.29402316263685
2376,622.8318501164206,8.0,224.26759490452906,54.2,217.29402316263685
2394,489.4004287266365,8.0,296.267594904529,54.2,217.29402316263685
2411,544.9071936408293,8.0,274.26759490452895,50.2,217.29402316263685
2429,444.6312920253297,8.0,202.2675949045288,50.2,217.29402316263685
2430,430.81170921923837,8.0,198.26759490452883,50.2,217.29402316263685
2448,321.38181512499847,8.0,150.26759490452895,50.2,217.29402316263685
2467,160.55013167867514,8.0,226.26759490452906,50.2,217.29402316263685
2482,175.09925502702006,8.0,286.2675949045291,50.2,217.29402316263685
2483,183.94392268792012,8.0,290.2675949045291,50.2,217.29402316263685
2502,327.0297032712374,8.0,6.267594904529054,50.2,217.29402316263685
2521,416.78641105990187,8.0,16.267594904529023,50.2,217.29402316263685
2540,551.747598089313,8.0,300.26759490452895,50.2,217.29402316263685
2557,590.7728175706125,8.0,232.26759490452886,50.2,217.29402316263685
2576,662.0866557433063,8.0,300.2675949045291,50.2,217.29402316263685
2594,788.9790963551519,8.0,12.26759490452918,50.2,217.29402316263685
2613,805.3258331058091,8.0,88.26759490452906,50.2,217.29402316263685
2631,689.6169741870747,8.0,118.26759490452905,50.2,217.29402316263685
2632,688.25116138479,8.0,114.26759490452903,50.2,217.29402316263685
2651,686.7187269622533,8.0,38.267594904528956,50.2,217.29402316263685
2669,825.7977433146756,8.0,326.2675949045289,50.2,217.29402316263685
2688,878.682485649604,-8.0,53.267594904529076,50.2,217.29402316263685
2706,920.4727683675668,-8.0,125.26759490452916,50.2,217.29402316263685
2724,908.705496096563,8.0,227.2675949045291,50.2,217.29402316263685
2725,902.1600842218602,8.0,228.2675949045291,50.2,217.29402316263685
2742,801.5343761693719,8.0,160.267594904529,50.2,217.29402316263685
2761,688.4236562767278,8.0,84.26759490452889,50.2,217.29402316263685
2762,682.6377975401468,8.0,80.26759490452888,50.2,217.29402316263685
2780,705.5937495860237,8.0,88.26759490452906,50.2,217.29402316263685
2799,601.5034870033004,8.0,164.26759490452915,50.2,217.29402316263685
2800,587.4044978234882,8.0,168.26759490452915,50.2,217.29402316263685
2817,486.89679425198847,8.0,236.26759490452906,50.2,217.29402316263685
2835,530.5374824859365,8.0,308.2675949045291,49.19999999999999,217.29402316263685
2836,533.7020111528993,8.0,312.2675949045292,49.09999999999999,217.29402316263685
2853,628.1072319300388,8.0,258.26759490452906,47.39999999999996,217.29402316263685
2871,602.3235387068205,8.0,186.26759490452895,45.59999999999994,217.29402316263685
2872,595.3216951083526,8.0,182.26759490452895,45.499999999999936,217.29402316263685
